Idea_Text,Idea_Category,AOI_web_score,Ranking,total_matches
Reliable safe transportation,Infrastructure,63,42,49
CTA,Infrastructure,62,44,76
Mandate community benefit agreements for all developments with city funding,Infrastructure,62,45,199
Update the city’s water infrastructure,Infrastructure,61.4,48,228
"More walkable destinations (access, visibility, vibrant businesses)",Infrastructure,55.8,56,46
"Update city transportation infrastructure (roads, bridges, sidewalks, CTA trains)",Infrastructure,54.5,60,221
"Safer, well-lit streets / higher walk score",Infrastructure,52.9,65,50
Recycling,Infrastructure,48.7,75,81
More public transit options,Infrastructure,48.6,76,240
Good roads and traffic lights,Infrastructure,44.6,84,82
City loans for solar panels on homes and installation businesses,Infrastructure,43.1,92,52
Accessible streets and sidewalks,Infrastructure,41.5,97,44
Increased bicycle infrastructure,Infrastructure,41.2,98,55
Green spaces – parks / trails,Infrastructure,40.8,101,55
Increased Pedestrian and bicycle safety,Infrastructure,39.8,102,227
Affordable rooftop solar program,Infrastructure,39.5,103,203
Street beautification,Infrastructure,39,106,42
Green space,Infrastructure,39,107,63
Snow and ice removal,Infrastructure,27.9,123,217
Increased building code enforcement,Infrastructure,23.5,132,184
More lights,Infrastructure,22.6,133,89
Economic ecosystem that equals generational wealth,Other,55.6,57,48
Neighborhood communications,Other,44,87,50
Less property taxes,Other,42.5,94,74
Alderpeople responsiveness,Other,41.5,96,68
Voter registration and engagement programs,Other,41,99,79
Place to go to give opinions,Other,34.2,115,77
Term limited elected officials,Other,34.1,116,43
Time banking and fiscal sponsorship for voluntarism,Other,30,121,44
Alderman presence,Other,27.9,124,43
Preference for union companies in permitting,Other,14.6,138,126
